Sigla,Código,Estado,2022 T1,2022 T2,2022 T3,2022 T4
AL,27,Alagoas,"89,46633333","98,07048","100,51637","111,9468233"
BA,29,Bahia,"93,92766","98,40455333","97,15713","110,5106533"
CE,23,Ceará,"90,36337667","98,84691333","99,15316333","111,63655"
MA,21,Maranhão,"90,8200667","97,96068","101,6225533","109,5917633"
PB,25,Paraíba,"81,41211333","87,69001033","107,61426","123,28352"
PE,26,Pernambuco,"93,38389","96,38436667","98,45503","111,7767133"
PI,22,Piauí,"90,9579","99,1339","101,44338","108,4648167"
RN,24,Rio Grande do Norte,"92,31846333","98,90104667","99,91022333","108,8702667"
SE,28,Sergipe,"90,46294333","98,48893667","98,31495","112,73317"
